lyrics,Singer,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,Song name,speechiness,tempo,track_href,valence
"Yeah, let's go
Listen, aha!

तू है अतिसुंदर, अनोखी, अद्भुत
तुझे देख के बन गया बुत
तुझे देख के time हुआ freeze
तूने दी एक look और सब गया रुक

ना कभी बहका हूँ, ना कभी high हुआ
ना कभी दारू पी, ना कभी किया smoke up
नशे के बारे में ज़्यादा कुछ पता नहीं
लेकिन लगता है तेरे जैसा ही होगा

तू मुझे brown sugar जैसी लगे
...",Aastha Gill,0.0642,0.756,0.682,2R0rO83dIjakuYnGIuIMaK,0.00275,6,0.0813,-9.954,0,Nain (feat. Aastha Gill),0.0976,105.053,https://api.spotify.com/v1/tracks/2R0rO83dIjakuYnGIuIMaK,0.891
"Khul jaaye masti, open for fun
Party ka plan hai, c'mon everyone
Khul jaaye masti, open for fun
Party ka plan hai, c'mon everyone

Dil karna hai yaaron aajao along
Thodi baatein shatein aur karaoke songs

Party sharty dance wance
Thodi flirting aur romance
Party boys are ready to celebrate
Doston the saturday saturday
Open for fun on a saturday saturday
Yaaron wala saturday saturday
Open for fun on a saturday saturday

Hanji fir ek baar dekho aaya shanivaar
Sunday morning tak apne ko chill karna hai yaar
Feelings apni bahar nikalo
Socho mat bas tum keh daalo
...",Aastha Gill,0.0289,0.713,0.834,6F21sBQKXGEv9zLBZx8aid,0.0,11,0.0616,-5.928,0,Saturday Saturday (Khul Jaaye Masti),0.0799,129.943,https://api.spotify.com/v1/tracks/6F21sBQKXGEv9zLBZx8aid,0.71
"ਨੀ ਚਿਹਰਾ ਮੇਰਾ ਚੰਨ ਵਰਗਾ
ਨੀ ਚਿਹਰਾ ਮੇਰਾ ਚੰਨ ਵਰਗਾ
ਵੇਖੀਂ ਨਜ਼ਰ ਨਾ ਕਿਤੇ ਲੱਗ ਜਾਵੇ
ਓਏ, ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ
ਵੇ ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ
ਤੇਰੇ ਵਰਗੇ ਤਾਂ ਦਿਲਾਂ ਦੇ ਵੀ ਕਾਲੇ
ਓਏ, ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ

Go

ਨੀ ਚਿਹਰਾ ਮੇਰਾ ਚੰਨ ਵਰਗਾ
ਨੀ ਚਿਹਰਾ ਮੇਰਾ ਚੰਨ ਵਰਗਾ
ਵੇਖੀਂ ਨਜ਼ਰ ਨਾ ਕਿਤੇ ਲੱਗ ਜਾਵੇ
ਓਏ, ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ
ਵੇ ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ
ਤੇਰੇ ਵਰਗੇ ਤਾਂ ਦਿਲਾਂ ਦੇ ਵੀ ਕਾਲੇ
ਓਏ, ਕਾਲਾ ਟਿੱਕਾ ਮੈਂ ਲਾ ਲਵਾਂ

...",Aastha Gill,0.0566,0.747,0.537,2hVSYIv4IjdnaXb1OtxtTG,1.21e-05,8,0.0841,-7.845,0,Kala Tikka,0.0521,102.012,https://api.spotify.com/v1/tracks/2hVSYIv4IjdnaXb1OtxtTG,0.237
"Let me let me.
Let me make you move
Let me make you move

Call me bad boy baby
Banda thoda crack hai
Jaan leva jaan leva
Rayzr mera swag hai

Let me make you move
Let me make you move
Call me bad boy baby
Banda thoda crack hai
Jaan leva jaan leva
Razor mera swag hai

Wait!
A minute girl, minute girl
Body teri jaise koi miracle miracle

Kabhi to police ki tarah
Karu tujhe follow main
Aisa pehli baar hua hai
Satraan athra saalon mein

Main thoda sa bad
Par poori bad hai tu
Mujhe pagal kar de
Teri body ke tattoo
Teri chaal hai bawaal
And baby I see you
Tere pichhe kitne ladke pahunche ICU
...",Aastha Gill,0.3,0.827,0.757,7wEjJnTE339AxWZBPSZZNg,0.0,5,0.135,-6.43,0,RayZR Mera Swag (feat. Aastha Gill),0.0759,149.956,https://api.spotify.com/v1/tracks/7wEjJnTE339AxWZBPSZZNg,0.778
"DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
DJ वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

ओ, DJ वाले मेरा गाना तू चला दे
थोड़ी volume ऊँची कर दे
...",Aastha Gill,0.255,0.93,0.915,455DefwYILLdoDGKcavxDN,0.000148,10,0.0733,-3.532,0,DJ Wale Babu - Hip Hop Mix,0.113,109.973,https://api.spotify.com/v1/tracks/455DefwYILLdoDGKcavxDN,0.884
"Usne mujhe chuaa bhi nahin
Aisa-waisa kuch hua bhi nahin

Nazar thi paini, huyi bechaini
Aankhon-aankhon mein shaitaani ho gayi

Saiyaan ne dekha aise
Main paani-paani ho gayi

Main paani-paani ho gayi

Main paani-paani ho gayi

Chalegi kya?
Glass pada hai khaali, bharegi kya?
Saath aaye launde se daregi kya?
Andar ki feeling se ladegi kya? hain?

Had ho gayi
Had se aage bhi badhegi kya?
Nau acre mein farm
...",Aastha Gill,0.236,0.886,0.579,47Rqh5ZSamtIOFi7G6VgFJ,4.23e-06,0,0.0586,-7.231,1,Paani Paani,0.209,105.028,https://api.spotify.com/v1/tracks/47Rqh5ZSamtIOFi7G6VgFJ,0.427
"It's been long, तेरी बीन सुने, परदेसी
It's been long, तेरी बीन सुने, परदेसी

नागिन दिन गिन-गिन-गिन
गिन-गिन-गिन-गिन, गिन-गिन-गिन-गिन मर गई
नागिन दिन गिन-गिन-गिन
गिन-गिन-गिन-गिन, गिन-गिन-गिन-गिन (मर गई)

सजना, बिन तेरे लगे आँगन टेढ़े
मैं नाच ना जानूँ एक रत्ती anymore
लहराना भूली, इठलाना भूली
घर आजा ना, don't you love me anymore?

It's been long, तेरी बीन सुने, परदेसी
It's been long, तेरी बीन सुने, परदेसी

नागिन दिन गिन-गिन-गिन
...",Aastha Gill,0.0335,0.807,0.5,7gAyu0od48mkaCw1laPKVC,8.73e-06,9,0.0967,-10.361,1,Naagin,0.0581,97.09,https://api.spotify.com/v1/tracks/7gAyu0od48mkaCw1laPKVC,0.243
"D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

ओ, D.J. वाले, मेरा गाना तू चला दे
थोड़ी volume ऊँची कर दे, थोड़ा bass तू बढ़ा दे
D.J. वाले, मेरा गाना तू चला दे
थोड़ी volume ऊँची कर दे, थोड़ा bass तू बढ़ा दे

D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
D.J. वाले बाबू मेरा गाना चला दो
गाना चला दो, गाना चला दो

अरे, club में तेरी सरकार बना दूँ
...",Aastha Gill,0.345,0.959,0.606,2SRv30X7NoYRZB62dX0UzH,0.0,1,0.126,-5.754,1,Dj Waley Babu (feat. Aastha Gill),0.219,110.0,https://api.spotify.com/v1/tracks/2SRv30X7NoYRZB62dX0UzH,0.783
"सारे हैं मेरे दीवाने
हुआ क्या इनको ना जाने
जो पहले देते थे ताने
करें मिलन के बहाने

ਕਹਿੰਦੀ ਮੈਂ ""No, no, no"" (shh!)
ਕਹਿੰਦਾ ਲੈ take it slow
हवा तो आने दो
Call me your crazy lady

मैं तेरे बस की नहीं रे

...",Aastha Gill,0.00145,0.818,0.814,0DX4hRvTxwb6tSluWEDeOV,0.00462,0,0.34,-6.364,1,Crazy Lady,0.042,109.0,https://api.spotify.com/v1/tracks/0DX4hRvTxwb6tSluWEDeOV,0.951
"I like to move it like this
I like to move it like that
I like to move it like this
I like to move it like that

Light कर दो बंद, कर दो बंद, कर दो बंद
Light कर दो बंद, कर दो बंद, कर दो बंद
Light कर दो बंद, कर दो बंद, कर दो बंद
Light कर दो बंद, कर दो बंद, कर दो बंद

I like to move it like this
I like to move it like that
I like to move it like this
I like to move it like that

ले लगा ले sip, baby
ले बना ले trip, baby
गीला-गीला सब, फ़िसलन हो गई
Loose ना करियो grip, baby
...",Aastha Gill,0.396,0.822,0.537,1kDITI7aLrBoCAD56f6gwH,0.0,0,0.112,-7.398,1,Light Kardo Band (feat. Aastha Gill),0.0594,110.011,https://api.spotify.com/v1/tracks/1kDITI7aLrBoCAD56f6gwH,0.516
